,name,address,link,details,n_students,neighborhood,type
0,Jozefschool Katholiek Basisonderwijs,Gerberastraat 2,/basisscholen/aalsmeer/8825/jozefschool-katholiek-basisonderwijs/,KatholiekBasisonderwijs436 leerlingen,436,Aalsmeer,Middle School
1,Rooms Katholieke Basisschool Oosteinder,Catharina-Amalialaan 66 B,/basisscholen/aalsmeer/8827/rooms-katholieke-basisschool-oosteinder/,KatholiekBasisonderwijs373 leerlingen,373,Aalsmeer,Middle School
2,IKC Triade,Dreef 1A,/basisscholen/aalsmeer/24314/ikc-triade/,Prot. christelijkBasisonderwijs376 leerlingen,376,Aalsmeer,Middle School
3,De Brug,Catharina-Amalialaan 66 D,/basisscholen/aalsmeer/24358/de-brug/,Prot. christelijkBasisonderwijs173 leerlingen,173,Aalsmeer,Middle School
4,Openbare Basisschool Samen Een,Schoolstraat 15,/basisscholen/aalsmeer/6586/openbare-basisschool-samen-een/,OpenbaarBasisonderwijs188 leerlingen,188,Aalsmeer,Middle School
5,Openbare Basisschool de Zuidooster,Catharina-Amalialaan 66 A,/basisscholen/aalsmeer/6587/openbare-basisschool-de-zuidooster/,OpenbaarBasisonderwijs254 leerlingen,254,Aalsmeer,Middle School
6,SBO nieuwHessen,Hessenweg 4,/basisscholen/aalten/7221/sbo-nieuwhessen/,Prot. christelijkSpeciaal basisonderwijs73 leerlingen,73,Aalten,Middle School
7,Christelijke Basisschool Barlo,Markerinkdijk 18,/basisscholen/aalten/11090/christelijke-basisschool-barlo/,Prot. christelijkBasisonderwijs49 leerlingen,49,Aalten,Middle School
8,Chr. Daltonschool de Klimop,Schooldijk 21,/basisscholen/aalten/7223/chr-daltonschool-de-klimop/,Prot. christelijkBasisonderwijs61 leerlingenDalton,61,Aalten,Middle School
9,Christelijke Basisschool 't Möllenveld,Haartseweg 12 A,/basisscholen/aalten/7226/christelijke-basisschool-t-mollenveld/,Prot. christelijkBasisonderwijs44 leerlingen,44,Aalten,Middle School
10,Christelijke Daltonschool 't Warmelinck,Kruisdijk 17,/basisscholen/aalten/7229/christelijke-daltonschool-t-warmelinck/,Prot. christelijkBasisonderwijs54 leerlingenDalton,54,Aalten,Middle School
11,IKC UnieK,Vondelstraat 11a/b,/basisscholen/aalten/7230/ikc-uniek/,Prot. christelijkBasisonderwijs143 leerlingen,143,Aalten,Middle School
12,Protestants Christelijke Basisschool Groen van Prinsterer,Ludgerstraat 86,/basisscholen/aalten/11093/protestants-christelijke-basisschool-groen-van-prinsterer/,Prot. christelijkBasisonderwijs324 leerlingen,324,Aalten,Middle School
13,IKC De Triangel,Dalweg 18,/basisscholen/aalten/11095/ikc-de-triangel/,Prot. christelijkBasisonderwijs336 leerlingen,336,Aalten,Middle School
14,Basisschool St. Jozef,Dijkstraat 6,/basisscholen/aalten/7650/basisschool-st-jozef/,KatholiekBasisonderwijs111 leerlingen,111,Aalten,Middle School
15,Openbare Basisschool De Slinger,Wehmerstraat 21,/basisscholen/aalten/26342/openbare-basisschool-de-slinger/,OpenbaarBasisonderwijs135 leerlingen,135,Aalten,Middle School
16,Openbare Basisschool Vondelschool,Juliana van Stolberglaan 25,/basisscholen/aerdenhout/10392/openbare-basisschool-vondelschool/,OpenbaarBasisonderwijs272 leerlingen,272,Aerdenhout,Middle School
17,Antoniusschool voor Basisonderwijs,Teding van Berkhoutlaan 20,/basisscholen/aerdenhout/8112/antoniusschool-voor-basisonderwijs/,KatholiekBasisonderwijs220 leerlingen,220,Aerdenhout,Middle School
18,Tijo H. van Eeghenschool,Van Lennepweg 2,/basisscholen/aerdenhout/8552/tijo-h-van-eeghenschool/,SamenwerkingBasisonderwijs219 leerlingen,219,Aerdenhout,Middle School
19,Schoolvereniging Aerdenhout Bentveld,Mr. H. Enschedeweg 22,/basisscholen/aerdenhout/8611/schoolvereniging-aerdenhout-bentveld/,Algemeen bijzonderBasisonderwijs128 leerlingen,128,Aerdenhout,Middle School
20,Burgemeester de Wildeschool (Alkmaar),Gabriël Metsulaan 34,/basisscholen/alkmaar/23774/burgemeester-de-wildeschool-alkmaar/,OpenbaarSpeciaal onderwijs18 leerlingen,18,Alkmaar,Middle School
21,An Nasr,Tooroplaan 1,/basisscholen/alkmaar/9174/an-nasr/,Confessioneel overigBasisonderwijs131 leerlingen,131,Alkmaar,Middle School
22,DURF,Elgerweg 39,/basisscholen/alkmaar/5399/durf/,Prot. christelijkBasisonderwijs296 leerlingen,296,Alkmaar,Middle School
23,De Alk,Van Harenlaan 23,/basisscholen/alkmaar/5498/de-alk/,Algemeen bijzonderSpeciaal onderwijs128 leerlingen,128,Alkmaar,Middle School
24,Rudolf Steinerschool,Sperwerstraat 1,/basisscholen/alkmaar/5990/rudolf-steinerschool/,Algemeen bijzonderBasisonderwijs205 leerlingenVrijeschool,205,Alkmaar,Middle School
25,1e Montessorischool Alkmaar,Arkplein 123,/basisscholen/alkmaar/26045/1e-montessorischool-alkmaar/,Algemeen bijzonderBasisonderwijs102 leerlingenMontessori,102,Alkmaar,Middle School
26,De Rank,Beethovensingel 19,/basisscholen/alkmaar/6964/de-rank/,Prot. christelijkBasisonderwijs121 leerlingenOntwikkelingsgericht Onderwijs,121,Alkmaar,Middle School
27,Openbare Basisschool Jules Verne,Drechterwaard 9,/basisscholen/alkmaar/11336/openbare-basisschool-jules-verne/,OpenbaarBasisonderwijs192 leerlingen,192,Alkmaar,Middle School
28,Openbare Basisschool Liereland,Toscanestraat 4,/basisscholen/alkmaar/11337/openbare-basisschool-liereland/,OpenbaarBasisonderwijs170 leerlingenDalton,170,Alkmaar,Middle School
29,Montessorischool De Cilinder,Johanna Naberstraat 81,/basisscholen/alkmaar/22131/montessorischool-de-cilinder/,OpenbaarBasisonderwijs92 leerlingenMontessori,92,Alkmaar,Middle School
30,Openbare Basisschool De Fontein,Heilooerdijk 136,/basisscholen/alkmaar/11338/openbare-basisschool-de-fontein/,OpenbaarBasisonderwijs89 leerlingen,89,Alkmaar,Middle School
31,Openbare Basisschool De Zes Wielen,Munnikenweg 18,/basisscholen/alkmaar/11339/openbare-basisschool-de-zes-wielen/,OpenbaarBasisonderwijs434 leerlingenNieuw / natuurlijk / conceptueel leren,434,Alkmaar,Middle School
32,Openbare Basisschool De Vlieger,Sneeuwgansstraat 18,/basisscholen/alkmaar/7533/openbare-basisschool-de-vlieger/,OpenbaarBasisonderwijs234 leerlingen,234,Alkmaar,Middle School
33,Openbare Vroonermeerschool,P.C. Boutensstraat 4,/basisscholen/alkmaar/24873/openbare-vroonermeerschool/,OpenbaarBasisonderwijs94 leerlingen,94,Alkmaar,Middle School
34,Openbare Basisschool De Sterrenwachter,Stempelmakerstraat 19,/basisscholen/alkmaar/7534/openbare-basisschool-de-sterrenwachter/,OpenbaarBasisonderwijs65 leerlingen,65,Alkmaar,Middle School
35,Openbare Basisschool De Kennemerpoort,Hofdijkstraat 12,/basisscholen/alkmaar/11341/openbare-basisschool-de-kennemerpoort/,OpenbaarBasisonderwijs279 leerlingen,279,Alkmaar,Middle School
36,obs De Kennemerpoort,Lindenlaan 101,/basisscholen/alkmaar/22134/obs-de-kennemerpoort/,OpenbaarBasisonderwijs186 leerlingen,186,Alkmaar,Middle School
37,obs Bello voor Jenaplanonderwijs,Snaarmanslaan 19,/basisscholen/alkmaar/22135/obs-bello-voor-jenaplanonderwijs/,OpenbaarBasisonderwijs160 leerlingenJenaplan,160,Alkmaar,Middle School
38,Openbare Basisschool Nicolaas Beets locatie Beethovensingel,Beethovensingel 17-21,/basisscholen/alkmaar/11342/openbare-basisschool-nicolaas-beets-locatie-beethovensingel/,OpenbaarBasisonderwijs398 leerlingen,398,Alkmaar,Middle School
39,Openbare Basisschool Nicolaas Beets locatie de Hoef,Judith Leysterstraat 4,/basisscholen/alkmaar/21136/openbare-basisschool-nicolaas-beets-locatie-de-hoef/,OpenbaarBasisonderwijs62 leerlingen,62,Alkmaar,Middle School
40,De Stip,Slochterwaard 179,/basisscholen/alkmaar/26690/de-stip/,OpenbaarSpeciaal onderwijs31 leerlingen,31,Alkmaar,Middle School
41,Spinaker SO Alkmaar,Kortenaerkade 22,/basisscholen/alkmaar/25327/spinaker-so-alkmaar/,OpenbaarSpeciaal onderwijs118 leerlingen,118,Alkmaar,Middle School
42,School voor Speciaal Basisonderwijs De Piramide,Slochterwaard 179,/basisscholen/alkmaar/7538/school-voor-speciaal-basisonderwijs-de-piramide/,OpenbaarSpeciaal basisonderwijs151 leerlingen,151,Alkmaar,Middle School
43,Openbare Basisschool de Cocon,Pater Schiphorststraat 1,/basisscholen/alkmaar/7539/openbare-basisschool-de-cocon/,OpenbaarBasisonderwijs209 leerlingenOntwikkelingsgericht Onderwijs,209,Alkmaar,Middle School
44,Rooms Katholieke Basisschool St Adelbertus,Nieuwlandersingel 40,/basisscholen/alkmaar/7949/rooms-katholieke-basisschool-st-adelbertus/,KatholiekBasisonderwijs483 leerlingen,483,Alkmaar,Middle School
45,Rooms Katholieke Basisschool De Regenboog,Tochtwaard 14,/basisscholen/alkmaar/11766/rooms-katholieke-basisschool-de-regenboog/,KatholiekBasisonderwijs272 leerlingen,272,Alkmaar,Middle School
46,Rooms Katholieke Basisschool Kard de Jong,Amalia van Solmsstraat 91,/basisscholen/alkmaar/7950/rooms-katholieke-basisschool-kard-de-jong/,KatholiekBasisonderwijs215 leerlingen,215,Alkmaar,Middle School
47,Rooms Katholieke Basisschool De Kring,Koornlaan 2,/basisscholen/alkmaar/7951/rooms-katholieke-basisschool-de-kring/,KatholiekBasisonderwijs340 leerlingen,340,Alkmaar,Middle School
48,Rooms Katholieke Basisschool Matthias,Spieghelplein 45,/basisscholen/alkmaar/11768/rooms-katholieke-basisschool-matthias/,KatholiekBasisonderwijs172 leerlingen,172,Alkmaar,Middle School
49,Rooms Katholieke Basisschool De Wegwijzer,Percivalstraat 3,/basisscholen/alkmaar/26490/rooms-katholieke-basisschool-de-wegwijzer/,OverigeBasisonderwijs192 leerlingen,192,Alkmaar,Middle School
50,Rooms katholieke Basisschool De Driemaster,Gabriel Metsulaan 36,/basisscholen/alkmaar/7952/rooms-katholieke-basisschool-de-driemaster/,KatholiekBasisonderwijs290 leerlingen,290,Alkmaar,Middle School
51,Rooms Katholieke Basisschool 't Baeken,Faktorij 123,/basisscholen/alkmaar/7954/rooms-katholieke-basisschool-t-baeken/,KatholiekBasisonderwijs264 leerlingen,264,Alkmaar,Middle School
52,RKBS de Burijn,Stempelmakerstraat 20,/basisscholen/alkmaar/7955/rkbs-de-burijn/,KatholiekBasisonderwijs237 leerlingen,237,Alkmaar,Middle School
53,Rooms Katholieke Basisschool Het Kompas,Kofschipstraat 11,/basisscholen/alkmaar/11770/rooms-katholieke-basisschool-het-kompas/,KatholiekBasisonderwijs222 leerlingen,222,Alkmaar,Middle School
54,Oecumenische school voor Speciaal Basisonderwijs De Vlindertuin,Slochterwaard 176,/basisscholen/alkmaar/7956/oecumenische-school-voor-speciaal-basisonderwijs-de-vlindertuin/,SamenwerkingSpeciaal basisonderwijs104 leerlingen,104,Alkmaar,Middle School
55,Rooms Katholieke Basisschool Erasmus,J.M.P.de Biestraat 2 -4,/basisscholen/alkmaar/7957/rooms-katholieke-basisschool-erasmus/,KatholiekBasisonderwijs164 leerlingen,164,Alkmaar,Middle School
56,De Lispeltuut,P.C.Boutensstraat 4,/basisscholen/alkmaar/24863/de-lispeltuut/,KatholiekBasisonderwijs296 leerlingen,296,Alkmaar,Middle School
57,Montessori Basisschool,Jan Janslaan 4,/basisscholen/almelo/24276/montessori-basisschool/,OpenbaarBasisonderwijs126 leerlingenMontessori,126,Almelo,Middle School
58,Basisschool St Egbertus,Arendsboerweg 5,/basisscholen/almelo/8686/basisschool-st-egbertus/,KatholiekBasisonderwijs181 leerlingen,181,Almelo,Middle School
59,De Noorderborch,Havezathe 99,/basisscholen/almelo/8687/de-noorderborch/,KatholiekBasisonderwijs301 leerlingen,301,Almelo,Middle School
60,Basisschool De Wereldboom,Bosrand 6,/basisscholen/almelo/4763/basisschool-de-wereldboom/,KatholiekBasisonderwijs169 leerlingen,169,Almelo,Middle School
61,Basisschool De Compaan,Maardijk 83 a,/basisscholen/almelo/4764/basisschool-de-compaan/,KatholiekBasisonderwijs163 leerlingen,163,Almelo,Middle School
62,Het Mozaïek,Beverdamlaan 11,/basisscholen/almelo/8770/het-mozaiek/,Algemeen bijzonderSpeciaal onderwijs100 leerlingen,100,Almelo,Middle School
63,De Rietpluim,Speenkruidpad 2,/basisscholen/almelo/23317/de-rietpluim/,Algemeen bijzonderSpeciaal onderwijs52 leerlingen,52,Almelo,Middle School
64,De Zegge,Apollolaan 1 c,/basisscholen/almelo/10297/de-zegge/,Prot. christelijkBasisonderwijs310 leerlingenJenaplan,310,Almelo,Middle School
65,De Heemde,Hanzelaan 2,/basisscholen/almelo/10298/de-heemde/,Prot. christelijkBasisonderwijs204 leerlingenDalton,204,Almelo,Middle School
66,De Wierde,Suze Robertsonlaan 2,/basisscholen/almelo/10299/de-wierde/,Prot. christelijkBasisonderwijs138 leerlingen,138,Almelo,Middle School
67,De Telgenborch,Everlo 12,/basisscholen/almelo/6342/de-telgenborch/,Prot. christelijkBasisonderwijs197 leerlingen,197,Almelo,Middle School
68,De Huve,De Kolibrie 22,/basisscholen/almelo/6343/de-huve/,Prot. christelijkBasisonderwijs195 leerlingen,195,Almelo,Middle School
69,Protestants Christelijke Basisschool De Mare,De Rotsduif 22,/basisscholen/almelo/10301/protestants-christelijke-basisschool-de-mare/,Prot. christelijkBasisonderwijs381 leerlingen,381,Almelo,Middle School
70,De Tandem,Havezathe 97,/basisscholen/almelo/6534/de-tandem/,OpenbaarBasisonderwijs144 leerlingen,144,Almelo,Middle School
71,NT2-basisschool Het Palet,Catharina van Renneslaan 128,/basisscholen/almelo/21859/nt2-basisschool-het-palet/,OpenbaarBasisonderwijs,,Almelo,Middle School
72,Het Letterveld,Hedeveld 1-3,/basisscholen/almelo/10483/het-letterveld/,OpenbaarBasisonderwijs233 leerlingen,233,Almelo,Middle School
73,De Windhoek,Windslaan 14,/basisscholen/almelo/10484/de-windhoek/,OpenbaarBasisonderwijs454 leerlingen,454,Almelo,Middle School
74,Basisschool De Weier,Vissedijk 35C,/basisscholen/almelo/6536/basisschool-de-weier/,OpenbaarBasisonderwijs389 leerlingen,389,Almelo,Middle School
75,De Stapvoorde,De Kolibrie 24,/basisscholen/almelo/10485/de-stapvoorde/,OpenbaarBasisonderwijs168 leerlingen,168,Almelo,Middle School
76,Openbare Basisschool de Kubus,Hoornbladstraat 35,/basisscholen/almelo/10486/openbare-basisschool-de-kubus/,OpenbaarBasisonderwijs162 leerlingen,162,Almelo,Middle School
77,Step!,Jacob van Campenstraat 2,/basisscholen/almelo/6537/step/,OpenbaarBasisonderwijs108 leerlingen,108,Almelo,Middle School
78,OBS de Bonkelaar,De Rotsduif 26,/basisscholen/almelo/10487/obs-de-bonkelaar/,OpenbaarBasisonderwijs411 leerlingenDalton,411,Almelo,Middle School
79,Gereformeerde Basisschool De Fakkel,Karel Doormanstraat 2,/basisscholen/almelo/10736/gereformeerde-basisschool-de-fakkel/,Prot. christelijkBasisonderwijs131 leerlingen,131,Almelo,Middle School
80,Speciale School voor Basisonderwijs De Welle,Winkelsteeg 6,/basisscholen/almelo/24742/speciale-school-voor-basisonderwijs-de-welle/,Algemeen bijzonderSpeciaal basisonderwijs218 leerlingen,218,Almelo,Middle School
81,Basisschool Vrije School Almelo,Biesterweg 6,/basisscholen/almelo/12111/basisschool-vrije-school-almelo/,Algemeen bijzonderBasisonderwijs210 leerlingen,210,Almelo,Middle School
82,SO De Wissel (speciaal onderwijs -cluster4),Vriezenveenseweg 229,/basisscholen/almelo/12242/so-de-wissel-speciaal-onderwijs-cluster4/,Confessioneel overigSpeciaal onderwijs79 leerlingen,79,Almelo,Middle School
83,Dr Herderscheeschool,Schapendijk 3,/basisscholen/almelo/24739/dr-herderscheeschool/,Algemeen bijzonderSpeciaal onderwijs135 leerlingen,135,Almelo,Middle School
84,Alexander Roozendaalschool (Almere),Prokofjevstraat 3,/basisscholen/almere/23773/alexander-roozendaalschool-almere/,OpenbaarSpeciaal onderwijs85 leerlingen,85,Almere,Middle School
85,Shri Ganesha School,Regentesseweg 1,/basisscholen/almere/23141/shri-ganesha-school/,Confessioneel overigBasisonderwijs110 leerlingenOntwikkelingsgericht Onderwijs,110,Almere,Middle School
86,Nautilus College - Radioweg,Radioweg 35,/basisscholen/almere/4998/nautilus-college-radioweg/,Algemeen bijzonderSpeciaal onderwijs,,Almere,Middle School
87,Nautilus SO,J.J. Slauerhoffstraat 51,/basisscholen/almere/26221/nautilus-so/,Algemeen bijzonderSpeciaal onderwijs70 leerlingen,70,Almere,Middle School
88,Islamitische Basisschool Al Iman,Harderwijkoever 3,/basisscholen/almere/9087/islamitische-basisschool-al-iman/,Confessioneel overigBasisonderwijs356 leerlingen,356,Almere,Middle School
89,Basisschool De Ark,Middenhof 210,/basisscholen/almere/9089/basisschool-de-ark/,Prot. christelijkBasisonderwijs169 leerlingen,169,Almere,Middle School
90,Basisschool de Driemaster,Tegelenpad 2,/basisscholen/almere/9090/basisschool-de-driemaster/,Prot. christelijkBasisonderwijs161 leerlingen,161,Almere,Middle School
91,Basisschool de Ichthus,Rijnweg 10,/basisscholen/almere/5196/basisschool-de-ichthus/,Prot. christelijkBasisonderwijs123 leerlingen,123,Almere,Middle School
92,Basisschool PCB Het Kompas,Binnenkruierstraat 5,/basisscholen/almere/5197/basisschool-pcb-het-kompas/,Prot. christelijkBasisonderwijs133 leerlingen,133,Almere,Middle School
93,IKC de Regenboog,Klipgriend 1 & 3,/basisscholen/almere/5198/ikc-de-regenboog/,Prot. christelijkBasisonderwijs442 leerlingen,442,Almere,Middle School
94,Protestants Christelijke Basisschool de Lichtboei,Luitstraat 7,/basisscholen/almere/9091/protestants-christelijke-basisschool-de-lichtboei/,Prot. christelijkBasisonderwijs167 leerlingen,167,Almere,Middle School
95,Basisschool de Olijfboom,Bongerdstraat 2,/basisscholen/almere/9092/basisschool-de-olijfboom/,Prot. christelijkBasisonderwijs152 leerlingen,152,Almere,Middle School
96,Protestants Christelijke Basisschool de Buitenburcht,Zonnebloemweg 66,/basisscholen/almere/5199/protestants-christelijke-basisschool-de-buitenburcht/,Prot. christelijkBasisonderwijs395 leerlingen,395,Almere,Middle School
97,School voor Speciaal Basisonderwijs De Klimop,Rossinistraat 5,/basisscholen/almere/5200/school-voor-speciaal-basisonderwijs-de-klimop/,Algemeen bijzonderSpeciaal basisonderwijs188 leerlingen,188,Almere,Middle School
98,Basisschool De Kraanvogel,Perzikstraat 24,/basisscholen/almere/9093/basisschool-de-kraanvogel/,Prot. christelijkBasisonderwijs354 leerlingen,354,Almere,Middle School
99,De Omnibus,J.J. Slauerhoffstraat 53,/basisscholen/almere/5201/de-omnibus/,SamenwerkingBasisonderwijs557 leerlingenDalton,557,Almere,Middle School
100,Protestants Christelijke Basisschool De Dukdalf,Makassarweg 68,/basisscholen/almere/5202/protestants-christelijke-basisschool-de-dukdalf/,Prot. christelijkBasisonderwijs376 leerlingen,376,Almere,Middle School
101,De Optimist,Hildo Kropstraat 20,/basisscholen/almere/5203/de-optimist/,SamenwerkingBasisonderwijs219 leerlingenDalton,219,Almere,Middle School
102,Oecumenische Daltonschool De Windwijzer,Kraaiennest 4,/basisscholen/almere/9094/oecumenische-daltonschool-de-windwijzer/,SamenwerkingBasisonderwijs255 leerlingenDalton,255,Almere,Middle School
103,Het Drieluik,Ten Harmsen v.d. Beekpad 4,/basisscholen/almere/5204/het-drieluik/,SamenwerkingBasisonderwijs737 leerlingen,737,Almere,Middle School
104,De Kleine Wereld,Nederlandhof 5,/basisscholen/almere/9095/de-kleine-wereld/,Prot. christelijkBasisonderwijs151 leerlingen,151,Almere,Middle School
105,IKC Sterrenschool De Ruimte,Nimfenplein 1,/basisscholen/almere/21141/ikc-sterrenschool-de-ruimte/,Algemeen bijzonderBasisonderwijs383 leerlingen,383,Almere,Middle School
106,De Verwondering,Richard Feynmanstraat 7,/basisscholen/almere/25478/de-verwondering/,Confessioneel overigBasisonderwijs272 leerlingenOntwikkelingsgericht Onderwijs,272,Almere,Middle School
107,De Verbeelding,Burchard de Volderstraat 19,/basisscholen/almere/26637/de-verbeelding/,Confessioneel overigBasisonderwijs41 leerlingenOntwikkelingsgericht Onderwijs,41,Almere,Middle School
108,Christelijke Basisschool De Verbinding,Haagbeukweg 36 -38,/basisscholen/almere/24601/christelijke-basisschool-de-verbinding/,OverigeBasisonderwijs185 leerlingen,185,Almere,Middle School
109,Rooms Katholieke Basisschool Panta Rhei,Slufterplantsoen 2,/basisscholen/almere/5605/rooms-katholieke-basisschool-panta-rhei/,KatholiekBasisonderwijs227 leerlingen,227,Almere,Middle School
110,Jenaplan Basisschool De Loofhut,Vrijmark 114,/basisscholen/almere/9481/jenaplan-basisschool-de-loofhut/,KatholiekBasisonderwijs143 leerlingenJenaplan,143,Almere,Middle School
111,Rooms Katholieke Basisonderwijs Crescendo,Luitstraat 9,/basisscholen/almere/5610/rooms-katholieke-basisonderwijs-crescendo/,KatholiekBasisonderwijs247 leerlingen,247,Almere,Middle School
112,Rooms Katholieke Basisschool 't Zonnewiel,Bongerdstraat 4,/basisscholen/almere/9482/rooms-katholieke-basisschool-t-zonnewiel/,KatholiekBasisonderwijs602 leerlingen,602,Almere,Middle School
113,Rooms-katholieke basisschool De Lettertuin,Zonnebloemweg 68,/basisscholen/almere/5611/rooms-katholieke-basisschool-de-lettertuin/,KatholiekBasisonderwijs176 leerlingen,176,Almere,Middle School
114,Pirouette,"Iepenstraat 1-2, 1326 DB Almere",/basisscholen/almere/5612/pirouette/,KatholiekBasisonderwijs198 leerlingen,198,Almere,Middle School
115,Het Kristal,Makassarweg 68b,/basisscholen/almere/9484/het-kristal/,KatholiekBasisonderwijs218 leerlingen,218,Almere,Middle School
116,De Droomspiegel,Marco Poloroute 60,/basisscholen/almere/9486/de-droomspiegel/,KatholiekBasisonderwijs497 leerlingenDalton,497,Almere,Middle School
117,IKC De Duinvlinder,Slowakijehof 1,/basisscholen/almere/24222/ikc-de-duinvlinder/,OverigeBasisonderwijs257 leerlingen,257,Almere,Middle School
118,IKC De Woudreus,Marie Curielaan 301,/basisscholen/almere/26779/ikc-de-woudreus/,KatholiekBasisonderwijs17 leerlingenOntwikkelingsgericht Onderwijs,17,Almere,Middle School
119,Montessorischool Almere Stad,Randstad 22 113 b,/basisscholen/almere/7029/montessorischool-almere-stad/,OpenbaarBasisonderwijs577 leerlingenMontessori,577,Almere,Middle School
120,Speciaal Basisonderwijs De Watertuin,Churchilweg 3-7,/basisscholen/almere/7030/speciaal-basisonderwijs-de-watertuin/,OpenbaarSpeciaal basisonderwijs198 leerlingen,198,Almere,Middle School
121,Basisschool De Polderhof,Buitenhof 93,/basisscholen/almere/10906/basisschool-de-polderhof/,OpenbaarBasisonderwijs211 leerlingen,211,Almere,Middle School
122,Basisschool De Klaverweide,Rietmeent 136,/basisscholen/almere/7033/basisschool-de-klaverweide/,OpenbaarBasisonderwijs248 leerlingen,248,Almere,Middle School
123,Openbare Basisschool De Flierefluiter,Bosgouw 235,/basisscholen/almere/7034/openbare-basisschool-de-flierefluiter/,OpenbaarBasisonderwijs419 leerlingen,419,Almere,Middle School
124,IKC de Aquamarijn,Meerveldplein 4,/basisscholen/almere/10907/ikc-de-aquamarijn/,OpenbaarBasisonderwijs270 leerlingen,270,Almere,Middle School
125,Samenspel,Amsterdamweg 11,/basisscholen/almere/7036/samenspel/,OpenbaarBasisonderwijs187 leerlingen,187,Almere,Middle School
126,Samenspel 1,Leeuwardenplein 34,/basisscholen/almere/22878/samenspel-1/,OpenbaarBasisonderwijs158 leerlingen,158,Almere,Middle School
127,Openbare Basisschool De Achtbaan,Dordrechtplein 2,/basisscholen/almere/10908/openbare-basisschool-de-achtbaan/,OpenbaarBasisonderwijs171 leerlingen,171,Almere,Middle School
128,De Kameleon,Lingestraat 34,/basisscholen/almere/10909/de-kameleon/,OpenbaarBasisonderwijs86 leerlingen,86,Almere,Middle School
129,Basisschool De Argonaut,Zaagvisplantsoen 32,/basisscholen/almere/10911/basisschool-de-argonaut/,OpenbaarBasisonderwijs170 leerlingen,170,Almere,Middle School
130,Openbare basisschool Digitalis,Rolklaverpad 30,/basisscholen/almere/7037/openbare-basisschool-digitalis/,OpenbaarBasisonderwijs214 leerlingen,214,Almere,Middle School
131,De Tjasker,Buitenkruierstraat 2,/basisscholen/almere/7039/de-tjasker/,OpenbaarBasisonderwijs175 leerlingen,175,Almere,Middle School
132,Openbare Jenaplanbasisschool de Kring,Wipmolenweg 50,/basisscholen/almere/7040/openbare-jenaplanbasisschool-de-kring/,OpenbaarBasisonderwijs337 leerlingen,337,Almere,Middle School
133,School voor Speciaal Basisonderwijs De Bombardon,Simon van Collemstraat 7,/basisscholen/almere/7041/school-voor-speciaal-basisonderwijs-de-bombardon/,OpenbaarSpeciaal basisonderwijs159 leerlingen,159,Almere,Middle School
134,Openbare Basisschool De Architect,C. van Eesterenplein 1,/basisscholen/almere/10914/openbare-basisschool-de-architect/,OpenbaarBasisonderwijs161 leerlingen,161,Almere,Middle School
135,Openbare basisschool De Heliotroop,Beemdgrasstraat 12,/basisscholen/almere/10915/openbare-basisschool-de-heliotroop/,OpenbaarBasisonderwijs276 leerlingen,276,Almere,Middle School
136,Basisschool Vuurvogel,Ravelplantsoen 5,/basisscholen/almere/10917/basisschool-vuurvogel/,OpenbaarBasisonderwijs203 leerlingen,203,Almere,Middle School
137,Openbare Basisschool Het Spectrum,Regenboogweg 47,/basisscholen/almere/7042/openbare-basisschool-het-spectrum/,OpenbaarBasisonderwijs218 leerlingen,218,Almere,Middle School
138,Dalton basisschool Bommelstein,Markiezenhofstraat 62,/basisscholen/almere/7043/dalton-basisschool-bommelstein/,OpenbaarBasisonderwijs177 leerlingenDalton/Jenaplan,177,Almere,Middle School
139,Openbare Basisschool Polygoon,Hollywoodlaan 109,/basisscholen/almere/10920/openbare-basisschool-polygoon/,OpenbaarBasisonderwijs216 leerlingen,216,Almere,Middle School
140,Openbare Basisschool Syncope,Kornetstraat 19,/basisscholen/almere/7044/openbare-basisschool-syncope/,OpenbaarBasisonderwijs427 leerlingen,427,Almere,Middle School
141,Openbare Basisschool de Albatros,Edelhertweg 85,/basisscholen/almere/10921/openbare-basisschool-de-albatros/,OpenbaarBasisonderwijs303 leerlingen,303,Almere,Middle School
142,Openbare Basisschool de Zevensprong,Danslaan 74,/basisscholen/almere/7045/openbare-basisschool-de-zevensprong/,OpenbaarBasisonderwijs169 leerlingen,169,Almere,Middle School
143,Openbare Basisschool Aurora,Aprilstraat 105,/basisscholen/almere/7046/openbare-basisschool-aurora/,OpenbaarBasisonderwijs250 leerlingen,250,Almere,Middle School
144,Openbare Basisschool Het Palet,Johan Jongkindstraat 26,/basisscholen/almere/7047/openbare-basisschool-het-palet/,OpenbaarBasisonderwijs187 leerlingen,187,Almere,Middle School
145,Openbare Basisschool De Egelantier,Pieter van Damstraat 38,/basisscholen/almere/10923/openbare-basisschool-de-egelantier/,OpenbaarBasisonderwijs164 leerlingen,164,Almere,Middle School
146,OBS Letterland,A. Roland Holststraat 58,/basisscholen/almere/10924/obs-letterland/,OpenbaarBasisonderwijs183 leerlingen,183,Almere,Middle School
147,IPSA Almere,Roland Holststraat 58,/basisscholen/almere/26508/ipsa-almere/,OpenbaarBasisonderwijs259 leerlingen,259,Almere,Middle School
148,OBS De Archipel,Maldivenweg 45,/basisscholen/almere/10925/obs-de-archipel/,OpenbaarBasisonderwijs694 leerlingen,694,Almere,Middle School
